2016-09-29 0:12:46 - Export/Import: Invalid header in the ProductOptions worksheet
2016-09-29 0:12:46 - Export/Import: Invalid header in the ProductOptionValues worksheet
2016-09-29 0:12:46 - error_product_attributes_header
2016-09-29 1:32:14 - PHP Notice:  Undefined index: article_addition_description in /var/www/html/casaflores/public/admin/model/simple_blog/article.php on line 141
2016-09-29 1:32:14 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/casaflores/public/admin/model/simple_blog/article.php on line 141
2016-10-04 16:20:56 - PHP Notice:  Undefined variable: json in /var/www/html/casaflores/public/admin/controller/sale/order.php on line 2221
2016-10-04 16:21:04 - PHP Notice:  Undefined variable: json in /var/www/html/casaflores/public/admin/controller/sale/order.php on line 2221
2016-10-04 16:21:11 - PHP Notice:  Undefined variable: json in /var/www/html/casaflores/public/admin/controller/sale/order.php on line 2221
2016-10-04 16:21:30 - PHP Notice:  Undefined variable: json in /var/www/html/casaflores/public/admin/controller/sale/order.php on line 2221
2016-10-04 17:01:33 - PHP Warning:  is_dir() expects parameter 1 to be a valid path, string given in /var/www/html/casaflores/public/system/modification/system/engine/action.php on line 17
2016-10-04 17:01:33 - PHP Warning:  is_file() expects parameter 1 to be a valid path, string given in /var/www/html/casaflores/public/system/modification/system/engine/action.php on line 27
2016-10-06 12:04:43 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:04:43 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=43') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '43' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:04:43 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:07:07 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:07:07 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=57') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '57' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:07:07 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:07:14 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:07:14 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=57') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '57' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:07:14 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:08:05 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:08:05 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=57') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '57' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:08:05 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:08:46 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:08:46 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=44') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '44' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:08:46 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:08:57 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
2016-10-06 12:08:57 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR '&nbsp;&nbsp;&gt;&nbsp;&nbsp;') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '4' GROUP BY cp.category_id) AS path, (SELECT DISTINCT keyword FROM oc_url_alias WHERE query = 'category_id=44') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '44' AND cd2.language_id = '4' in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 41
2016-10-06 12:08:57 - PHP Notice:  Trying to get property of non-object in /var/www/html/casaflores/public/admin/model/catalog/category.php on line 213
2016-10-06 12:11:29 - PHP Warning:  mysqli::query(): (21000/1242): Subquery returns more than 1 row in /var/www/html/casaflores/public/system/library/db/mysqli.php on line 19
